mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_penalty,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.00039997100830078123,0.0004898624643296146,0.0,0.0,0.01,l1,"{'C': 0.01, 'penalty': 'l1'}",,,,,,,,6
0.0024002552032470702,0.0004899987222241536,0.0020001411437988283,0.0006324097172997689,0.01,l2,"{'C': 0.01, 'penalty': 'l2'}",0.6775510204081633,0.5306122448979592,0.73109243697479,0.4813186813186814,0.7142857142857143,0.6269720195770617,0.10151165356730533,1
0.0006000518798828125,0.000489940339242533,0.0,0.0,0.1,l1,"{'C': 0.1, 'penalty': 'l1'}",,,,,,,,6
0.0028000831604003905,0.00039999486081696955,0.0022001743316650392,0.00040004257295020516,0.1,l2,"{'C': 0.1, 'penalty': 'l2'}",0.6775510204081633,0.5306122448979592,0.73109243697479,0.4813186813186814,0.7142857142857143,0.6269720195770617,0.10151165356730533,1
0.00040001869201660155,0.0004899208473093904,0.0,0.0,1,l1,"{'C': 1, 'penalty': 'l1'}",,,,,,,,6
0.0020004749298095704,0.0006325604920650742,0.0014004230499267579,0.0004900182296200158,1,l2,"{'C': 1, 'penalty': 'l2'}",0.6775510204081633,0.5306122448979592,0.73109243697479,0.4813186813186814,0.7142857142857143,0.6269720195770617,0.10151165356730533,1
0.0004002094268798828,0.0004901544488522248,0.0,0.0,10,l1,"{'C': 10, 'penalty': 'l1'}",,,,,,,,6
0.0019998073577880858,9.344061823971474e-07,0.0014006614685058594,0.000490018577627877,10,l2,"{'C': 10, 'penalty': 'l2'}",0.6775510204081633,0.5306122448979592,0.73109243697479,0.4813186813186814,0.7142857142857143,0.6269720195770617,0.10151165356730533,1
0.00020003318786621094,0.0004000663757324219,0.0,0.0,100,l1,"{'C': 100, 'penalty': 'l1'}",,,,,,,,6
0.0019998073577880858,9.5367431640625e-08,0.0009999752044677734,3.504023183989303e-07,100,l2,"{'C': 100, 'penalty': 'l2'}",0.6775510204081633,0.5306122448979592,0.73109243697479,0.4813186813186814,0.7142857142857143,0.6269720195770617,0.10151165356730533,1
