Feature,P_Value,AUC
CX,0.003104722,0.622379986
BL,0.01986081,0.596391143
BY,0.036531422,0.586544963
CP,0.062294361,0.577163624
C,0.065217365,0.576318458
BS,0.070128785,0.574966193
AP,0.086709557,0.570909398
EK,0.089754774,0.570233266
EL,0.098165599,0.568458418
EY,0.125062577,0.562880325
CT,0.132417945,0.562288709
CK,0.16445827,0.557555781
EN,0.163118914,0.557513523
BA,0.188897318,0.554344151
CN,0.193267618,0.553837052
BZ,0.227940188,0.549907032
EZ,0.215747091,0.549780257
BM,0.232723362,0.549399932
DN,0.253874363,0.54724476
BF,0.263346316,0.546315078
AB,0.345771509,0.539046653
AR,0.348456818,0.538793103
AK,0.362750989,0.537694388
BU,0.364369048,0.537567613
AO,0.386934153,0.535835024
AH,0.420274554,0.533384043
AI,0.473957341,0.529665314
EJ,0.495654999,0.528228533
AL,0.495665857,0.528228533
EF,0.516572631,0.526876268
DE,0.349557631,0.526749493
EM,0.563811208,0.523918188
AX,0.588948025,0.52239689
BE,0.630434437,0.519945909
BN,0.668180046,0.517748479
W,0.683590016,0.516903313
AS,0.716885643,0.515043949
HP,0.753829943,0.513015551
DX,0.770958915,0.512085869
CI,0.794410093,0.51081812
AM,0.798250042,0.510606829
BK,0.891934794,0.50566261
DJ,1,0.5
AT,0.956825002,0.497718053
BH,0.895165816,0.494506423
BX,0.890319974,0.494252874
FI,0.890319974,0.494252874
BR,0.890319951,0.494252874
HN,0.877418168,0.493576741
CJ,0.864548845,0.492900609
BC,0.783487373,0.488590264
DI,0.707748241,0.484448952
X,0.650898651,0.481237323
AY,0.614550962,0.479124408
AQ,0.535233902,0.474306964
BD,0.53388977,0.474222448
G,0.519217733,0.473292765
CC,0.461435831,0.46948952
B,0.451553139,0.468813387
AZ,0.426188841,0.46703854
E,0.382465541,0.46382691
HF,0.353136756,0.461544963
CG,0.329307077,0.459601082
BP,0.299829672,0.457065585
BI,0.235648147,0.450895876
CB,0.203466107,0.44734618
AU,0.190699881,0.445824882
BQ,0.188630803,0.445571332
AA,0.13560027,0.438218391
CU,0.135065819,0.438133874
BV,0.094292067,0.430738675
CA,0.0308983,0.410665991
D,0.013630138,0.397903989
HK,0.006056484,0.386409736
DC,0.000647939,0.358857336
